set	num	name	變更
M-P	218/M-P	慶祝開場樂	寶可夢 -> 訓練家|競技場
M2a	247/193	艾莉絲的鬥志	寶可夢 -> 訓練家|支援者
M2a	248/193	卡娜莉	寶可夢 -> 訓練家|支援者
M2a	249/193	衝浪手	寶可夢 -> 訓練家|支援者
S-P	073/S-P	蜜葉	寶可夢 -> 訓練家|支援者
S-P	088/S-P	丹帝	寶可夢 -> 訓練家|支援者
S-P	089/S-P	竹蘭	寶可夢 -> 訓練家|支援者
S-P	090/S-P	莉莉艾	寶可夢 -> 訓練家|支援者
S-P	091/S-P	古茲馬	寶可夢 -> 訓練家|支援者
S-P	092/S-P	竹蘭	寶可夢 -> 訓練家|支援者
S-P	099/S-P	機器鶘	寶可夢 -> 訓練家|物品
S-P	108/S-P	打空保險	寶可夢 -> 訓練家|道具
S-P	109/S-P	博士的研究 維羅博士	寶可夢 -> 訓練家|支援者
S-P	122/S-P	辣味香料咖哩	寶可夢 -> 訓練家|物品
S-P	147/S-P	先機球	寶可夢 -> 訓練家|物品
S-P	148/S-P	高級球	寶可夢 -> 訓練家|物品
S-P	149/S-P	精靈球	寶可夢 -> 訓練家|物品
S-P	156/S-P	亞玄	寶可夢 -> 訓練家|支援者
S-P	172/S-P	拉苯博士	寶可夢 -> 訓練家|支援者
S-P	193/S-P	挖洞兄弟	寶可夢 -> 訓練家|支援者
S-P	203/S-P	奇巴納	寶可夢 -> 訓練家|支援者
S-P	204/S-P	彩豆	寶可夢 -> 訓練家|支援者
S-P	205/S-P	丹帝	寶可夢 -> 訓練家|支援者
S-P	206/S-P	彼特	寶可夢 -> 訓練家|支援者
S-P	207/S-P	赫普	寶可夢 -> 訓練家|支援者
S-P	208/S-P	瑪俐	寶可夢 -> 訓練家|支援者
S-P	209/S-P	露璃娜	寶可夢 -> 訓練家|支援者
S-P	211/S-P	阿馴	寶可夢 -> 訓練家|支援者
S-P	227/S-P	平和公園	寶可夢 -> 訓練家|競技場
S-P	228/S-P	慶祝開場樂	寶可夢 -> 訓練家|競技場
SV1S	105/078	牡丹	寶可夢 -> 訓練家|支援者
SV1V	104/078	派帕	寶可夢 -> 訓練家|支援者
SV1V	105/078	米莫莎	寶可夢 -> 訓練家|支援者
