set	num	name	原因
AC1a	161/158	木木梟	無官方id
AC1a	162/158	投羽梟	無官方id
AC1a	163/158	膽小蟲	無官方id
AC1a	164/158	樹才怪	無官方id
AC1a	165/158	索羅亞	無官方id
AC1a	166/158	智揮猩	無官方id
AC1a	167/158	屬性：空	無官方id
AC1a	168/158	狙射樹梟GX	無官方id
AC1a	169/158	具甲武者GX	無官方id
AC1a	170/158	噴火龍GX	無官方id
AC1a	171/158	鳳王GX	無官方id
AC1a	172/158	爆焰龜獸GX	無官方id
AC1a	173/158	電束木GX	無官方id
AC1a	174/158	鬃岩狼人GX	無官方id
AC1a	175/158	爆肌蚊GX	無官方id
AC1a	176/158	月亮伊布GX	無官方id
AC1a	177/158	達克萊伊GX	無官方id
AC1a	178/158	索羅亞克GX	無官方id
AC1a	179/158	惡食大王GX	無官方id
AC1a	180/158	銀伴戰獸GX	無官方id
AC1a	181/158	卡璞・哞哞GX	無官方id
AC1a	182/158	卡璞・鳴鳴GX	無官方id
AC1b	160/158	阿羅拉 六尾	無官方id
AC1b	161/158	飯匙蛇	無官方id
AC1b	162/158	鐵啞鈴	無官方id
AC1b	163/158	金屬怪	無官方id
AC1b	164/158	拉魯拉絲	無官方id
AC1b	165/158	奇魯莉安	無官方id
AC1b	166/158	蒂安希	無官方id
AC1b	167/158	伊布	無官方id
AC1b	168/158	嗡蝠	無官方id
AC1b	169/158	阿羅拉 九尾GX	無官方id
AC1b	170/158	超夢GX	無官方id
AC1b	171/158	太陽伊布GX	無官方id
AC1b	172/158	虛吾伊德GX	無官方id
AC1b	173/158	巨金怪GX	無官方id
AC1b	174/158	紙御劍GX	無官方id
AC1b	175/158	沙奈朵GX	無官方id
AC1b	176/158	仙子伊布GX	無官方id
AC1b	177/158	音波龍GX	無官方id
AC1b	178/158	老翁龍GX	無官方id
AC1b	179/158	卡璞・鰭鰭GX	無官方id
AC1b	180/158	卡璞・蝶蝶GX	無官方id
AC1b	181/158	露奈雅拉GX	無官方id
AC1b	182/158	索爾迦雷歐GX	無官方id
AC2a	203/200	費洛美螂	無官方id
AC2a	204/200	怨影娃娃	無官方id
AC2a	205/200	好啦魷	無官方id
AC2a	206/200	烏賊王	無官方id
AC2a	207/200	毒貝比	無官方id
AC2a	208/200	利歐路	無官方id
AC2a	209/200	路卡利歐	無官方id
AC2a	210/200	岩狗狗	無官方id
AC2a	211/200	爆肌蚊	無官方id
AC2a	212/200	惡食大王	無官方id
AC2a	213/200	七夕青鳥	無官方id
AC2a	214/200	圓陸鯊	無官方id
AC2a	215/200	尖牙陸鯊	無官方id
AC2a	216/200	烈咬陸鯊	無官方id
AC2a	217/200	青綿鳥	無官方id
AC2a	218/200	葉伊布GX	無官方id
AC2a	219/200	詛咒娃娃GX	無官方id
AC2a	220/200	四顎針龍GX	無官方id
AC2a	221/200	路卡利歐GX	無官方id
AC2a	222/200	基格爾德GX	無官方id
AC2a	223/200	鬃岩狼人GX	無官方id
AC2a	224/200	七夕青鳥GX	無官方id
AC2a	225/200	露奈雅拉GX	無官方id
AC2a	226/150	究極奈克洛茲瑪GX	無官方id
AC2b	203/200	飛天螳螂	無官方id
AC2b	204/200	小火龍	無官方id
AC2b	205/200	火恐龍	無官方id
AC2b	206/200	烏波	無官方id
AC2b	207/200	沼王	無官方id
AC2b	208/200	呱呱泡蛙	無官方id
AC2b	209/200	呱頭蛙	無官方id
AC2b	210/200	霹靂電球	無官方id
AC2b	211/200	電束木	無官方id
AC2b	212/200	小磁怪	無官方id
AC2b	213/200	三合一磁怪	無官方id
AC2b	214/200	自爆磁怪	無官方id
AC2b	215/200	鐵火輝夜	無官方id
AC2b	216/200	紙御劍	無官方id
AC2b	217/200	萊希拉姆GX	無官方id
AC2b	218/200	急凍鳥GX	無官方id
